Coulmn Name,Code/Example,Prompt/Explanation
StudentID,A12345678,Student's MSU PID 
CourseID,phys251-fa18,Course-semesterYear (e.g: phys251-fa18)
Finished.x,No = 0; Yes = 1,Finished ECLASS PRETEST
Q1a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I try to understand how the experimental setup works.-What do YOU think when doing experiments for class?"
Q1b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I try to understand how the experimental setup works.-What would experimental physicists say about their research?"
Q2a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I wanted to, I think I could be good at doing research.-What do YOU think when doing experiments for class?"
Q2b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I wanted to, I think I could be good at doing research.-What would experimental physicists say about their research?"
Q3a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing a physics experiment, I don't think much about sources of systematic error.-What do YOU think when doing experiments for class?"
Q3b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing a physics experiment, I don't think much about sources of systematic error.-What would experimental physicists say about their research?"
Q4a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I am communicating results from an experiment, my main goal is to have the correct sections and f...-What do YOU think when doing experiments for class?"
Q4b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I am communicating results from an experiment, my main goal is to have the correct sections and f...-What would experimental physicists say about their research?"
Q5a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Calculating uncertainties usually helps me understand my results better.-What do YOU think when doing experiments for class?
Q5b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Calculating uncertainties usually helps me understand my results better.-What would experimental physicists say about their research?
Q6a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Scientific journal articles are helpful for answering my own questions and designing experiments.-What do YOU think when doing experiments for class?
Q6b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Scientific journal articles are helpful for answering my own questions and designing experiments.-What would experimental physicists say about their research?
Q7a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: I don't enjoy doing physics experiments.-What do YOU think when doing experiments for class?
Q7b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: I don't enjoy doing physics experiments.-What would experimental physicists say about their research?
Q8a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I try to understand the relevant equations.-What do YOU think when doing experiments for class?"
Q8b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I try to understand the relevant equations.-What would experimental physicists say about their research?"
Q9a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When I approach a new piece of lab equipment, I feel confident I can learn how to use it well enough...-What do YOU think when doing experiments for class?"
Q9b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When I approach a new piece of lab equipment, I feel confident I can learn how to use it well enough...-What would experimental physicists say about their research?"
Q10a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: Whenever I use a new measurement tool, I try to understand its performance limitations.-What do YOU think when doing experiments for class?"
Q10b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: Whenever I use a new measurement tool, I try to understand its performance limitations.-What would experimental physicists say about their research?"
Q11a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Computers are helpful for plotting and analyzing data.-What do YOU think when doing experiments for class?
Q11b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Computers are helpful for plotting and analyzing data.-What would experimental physicists say about their research?
Q12a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: I don't need to understand how the measurement tools and sensors work in order to carry out an exper...-What do YOU think when doing experiments for class?
Q12b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: I don't need to understand how the measurement tools and sensors work in order to carry out an exper...-What would experimental physicists say about their research?
Q13a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I try hard enough, I can succeed at doing physics experiments.-What do YOU think when doing experiments for class?"
Q13b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: If I try hard enough, I can succeed at doing physics experiments.-What would experimental physicists say about their research?"
Q14a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I usually think up my own questions to investigate.-What do YOU think when doing experiments for class?"
Q14b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When doing an experiment, I usually think up my own questions to investigate.-What would experimental physicists say about their research?"
Q15a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Designing and building things is an important part of doing physics experiments.-What do YOU think when doing experiments for class?
Q15b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: Designing and building things is an important part of doing physics experiments.-What would experimental physicists say about their research?
Q16a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: The primary purpose of doing physics experiments is to confirm previously known results.-What do YOU think when doing experiments for class?
Q16b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1",PRETEST: The primary purpose of doing physics experiments is to confirm previously known results.-What would experimental physicists say about their research?
Q17a.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When I encounter difficulties in the lab, my first step is to ask an expert, like the instructor.-What do YOU think when doing experiments for class?"
Q17b.x,"Disagree with expert = -1, Neutral = 0; Agree with expert = 1","PRETEST: When I encounter difficulties in the lab, my first step is to ask an expert, like the instructor.-What would experimental physicists say about their research?"
