,hashed-id,CourseID,Finished.x,Q1a.x,Q1b.x,Q2a.x,Q2b.x,Q3a.x,Q3b.x,Q4a.x,Q4b.x,Q5a.x,Q5b.x,Q6a.x,Q6b.x,Q7a.x,Q7b.x,Q8a.x,Q8b.x,Q9a.x,Q9b.x,Q10a.x,Q10b.x,Q11a.x,Q11b.x,Q12a.x,Q12b.x,Q13a.x,Q13b.x,Q14a.x,Q14b.x,Q15a.x,Q15b.x,Q16a.x,Q16b.x,Q17a.x,Q17b.x,Q18a.x,Q18b.x,Q19a.x,Q19b.x,Q20a.x,Q20b.x,Q21a.x,Q21b.x,Q22a.x,Q22b.x,Q24a.x,Q24b.x,Q25a.x,Q25b.x,Q26a.x,Q26b.x,Q27a.x,Q27b.x,Q28a.x,Q28b.x,Q29a.x,Q29b.x,Q30a.x,Q30b.x,Q31a.x,Q31b.x,IsTransformed.x,ExpertlikePre,PRO_ExpertlikePre,Finished.y,Q1a.y,Q1b.y,Q2a.y,Q2b.y,Q3a.y,Q3b.y,Q4a.y,Q4b.y,Q5a.y,Q5b.y,Q6a.y,Q6b.y,Q7a.y,Q7b.y,Q8a.y,Q8b.y,Q9a.y,Q9b.y,Q10a.y,Q10b.y,Q11a.y,Q11b.y,Q12a.y,Q12b.y,Q13a.y,Q13b.y,Q14a.y,Q14b.y,Q15a.y,Q15b.y,Q16a.y,Q16b.y,Q17a.y,Q17b.y,Q18a.y,Q18b.y,Q19a.y,Q19b.y,Q20a.y,Q20b.y,Q21a.y,Q21b.y,Q22a.y,Q22b.y,Q24a.y,Q24b.y,Q25a.y,Q25b.y,Q26a.y,Q26b.y,Q27a.y,Q27b.y,Q28a.y,Q28b.y,Q29a.y,Q29b.y,Q30a.y,Q30b.y,Q31a.y,Q31b.y,Q12c,Q6c,Q27c,Q19c,Q26c,Q5c,Q30c,Q1c,Q8c,Q11c,Q14c,Q15c,Q21c,Q17c,Q18c,Q3c,Q28c,Q22c,Q10c,Q4c,Q9c,Q24c,Q16c,CurrentMajor,ChangeMajor,CurrentInterest,SemesterInterest,SI_why,PhysGradSchool,SciMathGradSchool,NonAcadJob,MedSchool,ProfSchool,K12Teacher,CollegeTeacher,NonSciJob,GenderCode,Consent,Gender,IsTransformed.y,Gender_Text,AmerInd.AlaskaNat,Asian,Black,Hispanic,NatHaw.PacIsl,White,Other,Other_Text,Expertlikepost,PRO_Expertlikepost,Course
0,7.09E+18,phys251-fa15,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,-1,1,1,5,3,3,4,1,5,3,4,5,5,3,3,4,3,3,4,5,5,4,3,4,4,4,12,4,4,1,I enjoyed doing experiments in Lab. Our TA was very helpful in answering general concept questions.,2,1,1,1,1,2,2,2,2,1,M,0,,,,,,,,,,0.666666667,0.933333333,251
1,-3.80E+18,phys251-fa15,1,1,1,1,1,-1,1,-1,0,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,0,1,1,-1,1,-1,1,1,1,-1,1,1,1,0,0,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0,0.566666667,0.9,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,4,5,3,5,2,4,4,5,2,1,4,2,4,5,5,5,2,2,5,2,4,4,,4,1,"I have enjoyed lecture and lab.   I have gained a lot of knowledge about the field of physics and its application to my life.  I am currently in the dental school application cycle and I could not figure out for the life of me why physics would be a required course for every school to which I applied.  Now that the semester is wrapping up I am seeing the field's true life application as I shadow dentists, do projects around my house, watch children play, look up in the sky and see airplanes above, look at the stars, drive my car, watch a sport, play pool....on and on and on. I think that both my Professor and TA, made it easy for me to become excited about the possibilities that the knowledge of physics can bring.",2,2,2,2,1,2,2,2,1,1,F,0,,,,,,,,,,0.766666667,1,251
2,-4.92E+18,phys251-fa15,1,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,0,0,1,1,1,1,-1,1,1,-1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0.7,0.8,1,1,1,1,1,1,1,1,1,-1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,2,1,4,4,4,5,5,2,2,4,5,4,4,4,5,3,3,4,4,5,14,0,4,2,The lab had no effect on my interest in physics.,2,2,2,1,2,2,2,2,2,1,M,0,,,,,,,,,,0.766666667,0.966666667,251
3,4.83E+18,phys251-fa15,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,4,1,4,4,1,5,1,5,5,5,1,1,5,3,1,5,1,5,5,1,5,1,4,4,,4,2,I don't know.,2,2,2,1,2,2,2,2,1,1,F,0,,,,,,,,,,0.8,0.966666667,251
4,3.22E+18,phys251-fa15,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0,0.633333333,0.866666667,1,1,1,1,1,1,1,0,0,-1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,-1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,0,1,1,-1,0,1,1,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,0,2,2,"Still was difficult, most likely my disinterest was the reason why I still didn't like it.",2,2,2,2,2,1,1,2,1,1,F,0,,,,,,,,,,0.6,0.8,251
5,3.99E+18,phys251-fa15,1,1,1,1,1,1,1,-1,-1,1,1,-1,0,-1,1,0,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,0,1,1,-1,-1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,-1,-1,-1,1,0,0.5,0.8,1,1,1,1,1,0,1,-1,-1,0,1,-1,0,-1,0,0,0,0,1,0,1,0,1,-1,0,0,1,-1,0,-1,0,0,0,-1,0,0,0,-1,-1,1,0,-1,0,-1,0,-1,0,0,0,1,1,0,0,-1,1,-1,0,-1,0,0,1,2,1,1,1,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,3,2,2,4,,2,3,,2,2,2,2,1,2,2,2,2,1,M,0,,,,,,,,,,0.133333333,0.366666667,251
6,-9.20E+18,phys251-fa15,1,1,1,1,1,1,1,-1,-1,0,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,1,0,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1,0,0,1,1,0,0,1,1,-1,1,-1,1,-1,1,1,1,0,0.433333333,0.833333333,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,0,0,0,-1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,5,2,4,5,4,5,5,5,5,5,2,1,5,5,4,5,4,4,3,3,5,4,4,13,,1,2,I'm not a fan of lab in general so I don't think it inspired me.,2,2,2,2,1,2,2,2,1,1,F,0,,,,,,,,,,0.666666667,0.866666667,251
7,-8.75E+17,phys251-fa15,1,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,0.733333333,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,0,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,2,4,4,5,5,5,2,2,4,4,4,4,4,5,4,4,4,4,4,13,,2,2,I still struggled with it through the semester. ,2,1,1,2,2,2,2,1,1,1,F,0,,,,,,,,,,0.8,0.933333333,251
8,-2.83E+18,phys251-fa15,1,0,1,1,1,0,-1,-1,-1,1,1,-1,1,0,1,0,1,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,-1,0,-1,-1,0,1,-1,1,0,1,0,1,1,1,1,1,1,1,-1,0,0,1,-1,1,0,1,0,0,1,1,0,0.333333333,0.8,1,-1,1,0,1,1,1,-1,-1,-1,1,0,1,0,-1,0,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,0,1,0,0,-1,-1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,4,1,3,5,2,3,2,5,4,5,2,2,5,3,5,5,2,4,3,5,4,2,3,13,,2,2,only liked physics in high school my interest decreased after the previous summer when I took the online course,2,2,2,1,2,2,2,2,1,1,F,0,,,,,,,,,,0.433333333,0.833333333,251
9,4.64E+18,phys251-fa15,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,-1,1,0,1,-1,0,1,1,0,0.666666667,0.833333333,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,0,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,-1,0,1,1,1,-1,-1,1,1,4,2,4,3,2,4,4,5,5,5,4,2,4,3,4,4,3,4,5,3,3,4,4,13,,4,2,"I loved the experiment but my TA, in my opinion, was terrible. He would take off points for the smallest things, even when I was right and he knew very clearly what I was saying.",2,2,2,1,2,2,2,2,2,1,M,0,,,,,,,,,,0.633333333,0.9,251
