,hashed-id,CourseID,Finished.x,Q1a.x,Q1b.x,Q2a.x,Q2b.x,Q3a.x,Q3b.x,Q4a.x,Q4b.x,Q5a.x,Q5b.x,Q6a.x,Q6b.x,Q7a.x,Q7b.x,Q8a.x,Q8b.x,Q9a.x,Q9b.x,Q10a.x,Q10b.x,Q11a.x,Q11b.x,Q12a.x,Q12b.x,Q13a.x,Q13b.x,Q14a.x,Q14b.x,Q15a.x,Q15b.x,Q16a.x,Q16b.x,Q17a.x,Q17b.x,Q18a.x,Q18b.x,Q19a.x,Q19b.x,Q20a.x,Q20b.x,Q21a.x,Q21b.x,Q22a.x,Q22b.x,Q23a.x,Q23b.x,Q24a.x,Q24b.x,Q25a.x,Q25b.x,Q26a.x,Q26b.x,Q27a.x,Q27b.x,Q28a.x,Q28b.x,Q29a.x,Q29b.x,Q30a.x,Q30b.x,Q31a.x,Q31b.x,IsTransformed.x,Finished.y,Q1a.y,Q1b.y,Q2a.y,Q2b.y,Q3a.y,Q3b.y,Q4a.y,Q4b.y,Q5a.y,Q5b.y,Q6a.y,Q6b.y,Q7a.y,Q7b.y,Q8a.y,Q8b.y,Q9a.y,Q9b.y,Q10a.y,Q10b.y,Q11a.y,Q11b.y,Q12a.y,Q12b.y,Q13a.y,Q13b.y,Q14a.y,Q14b.y,Q15a.y,Q15b.y,Q16a.y,Q16b.y,Q17a.y,Q17b.y,Q18a.y,Q18b.y,Q19a.y,Q19b.y,Q20a.y,Q20b.y,Q21a.y,Q21b.y,Q22a.y,Q22b.y,Q23a.y,Q23b.y,Q24a.y,Q24b.y,Q25a.y,Q25b.y,Q26a.y,Q26b.y,Q27a.y,Q27b.y,Q28a.y,Q28b.y,Q29a.y,Q29b.y,Q30a.y,Q30b.y,Q31a.y,Q31b.y,Q12c,Q6c,Q27c,Q19c,Q26c,Q5c,Q30c,Q1c,Q8c,Q11c,Q14c,Q15c,Q21c,Q17c,Q18c,Q3c,Q28c,Q22c,Q10c,Q4c,Q9c,Q24c,Q16c,CurrentMajor,ChangeMajor,CurrentInterest,SemesterInterest,SI_why,PhysGradSchool,SciMathGradSchool,NonAcadJob,MedSchool,ProfSchool,K12Teacher,CollegeTeacher,NonSciJob,GenderCode,Consent,Gender,IsTransformed.y,Gender_Text,AmerInd.AlaskaNat,Asian,Black,Hispanic,NatHaw.PacIsl,White,Other,Other_Text,Course
0,7091169387906096241,phys251-fa15,1.0,5.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,0.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,12.0,4.0,4.0,1.0,I enjoyed doing experiments in Lab. Our TA was very helpful in answering general concept questions.,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,M,0.0,,,,,,,,,,251
1,-2570528265416124120,phys251-fa15,1.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
2,530499399028631272,phys251-fa15,1.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
3,-3804336702341680659,phys251-fa15,1.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,5.0,0.0,1.0,4.0,4.0,5.0,5.0,2.0,1.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,,4.0,1.0,"I have enjoyed lecture and lab.   I have gained a lot of knowledge about the field of physics and its application to my life.  I am currently in the dental school application cycle and I could not figure out for the life of me why physics would be a required course for every school to which I applied.  Now that the semester is wrapping up I am seeing the field's true life application as I shadow dentists, do projects around my house, watch children play, look up in the sky and see airplanes above, look at the stars, drive my car, watch a sport, play pool....on and on and on. I think that both my Professor and TA, made it easy for me to become excited about the possibilities that the knowledge of physics can bring.",2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,F,0.0,,,,,,,,,,251
4,-4915700140148173365,phys251-fa15,1.0,5.0,5.0,4.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,0.0,1.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,14.0,0.0,4.0,2.0,The lab had no effect on my interest in physics.,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,M,0.0,,,,,,,,,,251
5,5604766571620539090,phys251-fa15,1.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
6,4827547466612784025,phys251-fa15,1.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,4.0,5.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,0.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,,4.0,2.0,I don't know.,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,F,0.0,,,,,,,,,,251
7,-2722701997825916168,phys251-fa15,1.0,5.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
8,3223240206845930492,phys251-fa15,1.0,4.0,5.0,2.0,5.0,2.0,1.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,0.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,0.0,2.0,2.0,"Still was difficult, most likely my disinterest was the reason why I still didn't like it.",2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,F,0.0,,,,,,,,,,251
9,7719091897853650099,phys251-fa15,1.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,5.0,2.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
